"","x"
"968",1380.4278
"969",1380.9468
"970",1380.98532
"971",1382.85101
"972",1383.00102
"973",1383.9274
"974",1383.9274
"975",1383.9274
"976",1383.9274
"977",1383.97103
"978",1384.54059
"979",1384.54059
"980",1384.74754
"981",1386.07815
"982",1387.12798
"983",1387.18164
"984",1387.55028
"985",1387.55028
"986",1387.73908
"987",1387.9044
"988",1387.9044
"989",1388.43143
"990",1389.17545
"991",1390.72403
"992",1391.27955
"993",1391.49781
"994",1391.51617
"995",1391.51617
"996",1391.53454
"997",1391.63273
"998",1391.63273
"999",1391.63273
"1000",1391.63273
"1001",1392.05468
"1002",1392.27259
"1003",1392.62924
"1004",1393.02764
"1005",1393.06619
"1006",1393.18421
"1007",1393.33556
"1008",1393.81311
"1009",1394.05759
"1010",1394.1611
"1011",1394.5816
"1012",1394.61616
"1013",1394.63747
"1014",1396.28699
"1015",1396.38509
"1016",1396.38509
"1017",1398.46654
"1018",1398.99125
"1019",1399.03075
"1020",1400.81585
"1021",1400.84298
"1022",1403.17047
"1023",1403.23842
"1024",1403.26773
"1025",1403.26773
"1026",1403.26773
"1027",1403.26773
"1028",1403.4772
"1029",1405.04367
"1030",1405.46027
"1031",1405.47861
"1032",1405.59458
"1033",1406.15202
"1034",1406.23675
"1035",1406.25493
"1036",1407.13971
"1037",1407.53148
"1038",1407.53148
"1039",1407.90458
"1040",1407.90458
"1041",1407.92144
"1042",1407.92144
"1043",1408.01845
"1044",1408.07572
"1045",1408.89488
"1046",1409.73957
"1047",1409.86162
"1048",1409.88214
"1049",1410.23395
"1050",1411.1209
"1051",1411.95504
"1052",1411.95504
"1053",1411.95504
"1054",1412.46551
"1055",1412.46551
"1056",1414.00651
"1057",1414.02983
"1058",1417.89991
"1059",1417.89991
"1060",1418.00538
"1061",1418.63277
"1062",1419.02032
"1063",1420.33279
"1064",1420.48864
"1065",1423.05765
"1066",1423.4318
"1067",1424.21239
"1068",1428.18786
"1069",1430.41948
"1070",1430.51537
"1071",1441.11456
"1072",1441.2014
"1073",1441.23869
"1074",1443.09478
"1075",1447.40094
"1076",1448.27331
"1077",1450.33728
"1078",1451.44751
"1079",1452.65872
"1080",1453.00371
"1081",1454.06351
"1082",1454.3637
"1083",1454.89126
"1084",1456.74121
"1085",1457.58703
"1086",1457.58703
"1087",1458.24164
"1088",1458.71403
"1089",1459.07269
"1090",1459.82089
"1091",1459.9149
"1092",1460.13011
"1093",1460.75636
"1094",1460.90684
"1095",1460.90684
"1096",1460.90684
"1097",1461.37336
"1098",1461.37336
"1099",1461.37336
"1100",1461.37336
